Timestamp,Host,Reachable,Avg_RTT_ms
2025-06-25 19:20:01,8.8.8.8,Yes,61.534
2025-06-25 19:20:03,1.1.1.1,Yes,110.868
2025-06-25 19:20:04,192.168.1.1,Yes,3.538
2025-06-25 19:30:01,8.8.8.8,Yes,156.274
2025-06-25 19:30:02,1.1.1.1,Yes,110.397
2025-06-25 19:30:03,192.168.1.1,Yes,2.208
2025-06-25 19:40:01,8.8.8.8,Yes,92.616
2025-06-25 19:40:02,1.1.1.1,Yes,97.366
2025-06-25 19:40:03,192.168.1.1,Yes,1.479
2025-06-25 19:50:01,8.8.8.8,Yes,115.792
2025-06-25 19:50:02,1.1.1.1,Yes,110.580
2025-06-25 19:50:03,192.168.1.1,Yes,4.065
2025-06-25 20:00:01,8.8.8.8,Yes,119.795
2025-06-25 20:00:02,1.1.1.1,Yes,82.715
2025-06-25 20:00:03,192.168.1.1,Yes,3.021
2025-06-25 20:10:01,8.8.8.8,Yes,108.465
2025-06-25 20:10:02,1.1.1.1,Yes,113.467
2025-06-25 20:10:04,192.168.1.1,Yes,7.988
2025-06-25 20:20:01,8.8.8.8,Yes,123.736
2025-06-25 20:20:02,1.1.1.1,Yes,110.570
2025-06-25 20:20:03,192.168.1.1,Yes,4.094
2025-06-25 20:30:01,8.8.8.8,Yes,117.060
2025-06-25 20:30:03,1.1.1.1,Yes,111.776
2025-06-25 20:30:04,192.168.1.1,Yes,3.076
2025-06-25 20:40:01,8.8.8.8,Yes,77.225
2025-06-25 20:40:02,1.1.1.1,Yes,86.283
2025-06-25 20:40:03,192.168.1.1,Yes,2.117
2025-06-25 20:50:01,8.8.8.8,Yes,114.126
2025-06-25 20:50:03,1.1.1.1,Yes,111.250
2025-06-25 20:50:04,192.168.1.1,Yes,3.772
2025-06-25 21:00:01,8.8.8.8,Yes,139.970
2025-06-25 21:00:02,1.1.1.1,Yes,111.485
2025-06-25 21:00:03,192.168.1.1,Yes,1.670
2025-06-25 21:10:01,8.8.8.8,Yes,125.183
2025-06-25 21:10:02,1.1.1.1,Yes,110.154
2025-06-25 21:10:03,192.168.1.1,Yes,2.477
2025-06-25 22:30:02,8.8.8.8,Yes,91.352
2025-06-25 22:30:03,1.1.1.1,Yes,110.591
2025-06-25 22:30:04,192.168.1.1,Yes,3.530
2025-06-25 22:40:01,8.8.8.8,Yes,148.834
2025-06-25 22:40:02,1.1.1.1,Yes,110.826
2025-06-25 22:40:03,192.168.1.1,Yes,2.876
2025-06-25 22:50:01,8.8.8.8,Yes,145.186
2025-06-25 22:50:02,1.1.1.1,Yes,110.452
